product_category,total_orders,detractors,pct_detractors,avg_year
"['AUS Outdoor - Garden - Statues,AUS Home Décor - Statues & Ornaments,AUS Home Décor - Statues & Ornaments,AUS Home Décor - Statues & Ornaments,AUS S&O - Kitchen - Food Storage and Organisation']",1,0,0.0,2020.0
"['AUS Dinnerware - Drinkware - Glasses,AUS Kitchenware - [Cooking] Utensils']",1,0,0.0,2020.0
"['AUS Furniture - Occasional - Coffee Tables,AUS Furniture - Sofa Beds']",4,1,25.0,2020.0
"['AUS Manchester - Bed Sheets,AUS Manchester - Pillows,AUS Manchester - Quilts']",2,1,50.0,2020.0
"['AUS Rugs - Rugs,AUS Home Décor - Wall Art,AUS Rugs - Rugs']",8,1,12.5,2020.0
"['AUS Furniture - Outdoor - Tables,AUS Outdoor - Cushions,AUS Outdoor - Cushions,AUS Furniture - Seating - Bean Bags']",1,0,0.0,2020.0
"['AUS Home Décor - Wall Accents,AUS Lighting - Indoor - Lamps']",3,0,0.0,2019.0
"['AUS Kitchenware - Cutting Boards,AUS Bathroomware - Bathroom Accessories,AUS Rugs - Doormats,AUS Pet - [Cat] Cat Trees & Scratching Posts,AUS Home Décor - Statues & Ornaments']",1,0,0.0,2020.0
"['AUS Kids - S&O - Toy Boxes & Kids Storage Units,AUS Furniture - Dining - Buffets & Sideboards']",1,0,0.0,2020.0
"['AUS Furniture - Dining - Dining Chairs,AUS Rugs - Rugs']",26,3,11.54,2019.0
"['AUS Lighting - Indoor - Lamps,AUS Furniture - Bedroom - Chest of Drawers,AUS Furniture - Occasional - Ottomans & Stools']",1,0,0.0,2020.0
"['AUS Furniture - Occasional - Coffee Tables,AUS Home Décor - Statues & Ornaments']",1,0,0.0,2020.0
"['AUS Seasonal - Christmas Trees,AUS Seasonal - Christmas Trees']",10,0,0.0,2020.0
"['AUS Dinnerware - Cutlery Sets,AUS Home Décor - Wall Art,AUS Home Décor - Wall Art,AUS Home Décor - Wall Art,AUS Home Décor - Wall Art']",1,0,0.0,2019.0
"['AUS Manchester - Pillowcases,AUS Manchester - Bath - Bath Towels & Bath Mats']",1,1,100.0,2018.0
"['AUS Manchester - Home - Cushions,AUS Manchester - Bath - Bath Towels & Bath Mats,AUS Manchester - Bath - Bath Towels & Bath Mats,AUS Manchester - Bath - Bath Towels & Bath Mats']",1,0,0.0,2019.0
"['AUS Rugs - Rugs,AUS Furniture - Dining - Dining Chairs,AUS S&O - Shoe Racks & Cabinets,AUS Furniture - Outdoor - Tables,AUS Furniture - Outdoor - Benches,AUS Furniture - Entertainment - TV Units']",1,0,0.0,2019.0
['AUS Bathroomware - Bathroom Basins'],37,4,10.81,2019.0
"['AUS Outdoor - All Planters,AUS Home Décor - Clocks']",4,0,0.0,2019.0
"['AUS S&O - Shoe Racks & Cabinets,AUS S&O - Bookcases & Shelving Units']",4,2,50.0,2019.0
"['AUS Furniture - Occasional - Coffee Tables,AUS Furniture - Entertainment - TV Units,AUS Rugs - Rugs,AUS Rugs - Rugs,AUS Furniture - Occasional - Side/End Tables,AUS Furniture - Entertainment - TV Units,AUS Furniture - Occasional - Side/End Tables,AUS Furniture - Entertainment - TV Units,AUS Office - Office Chairs,AUS S&O - Bookcases & Shelving Units,AUS Furniture - Occasional - Coffee Tables,AUS Office - Desks,AUS Furniture - Sofa Beds']",1,0,0.0,2020.0
